,agent,step,test_id,avg_reward,std_reward
0,iqll,1320,-1,-1642.849696969697,1544.1560166945073
1,iqll,2640,-1,-1809.8536363636363,1660.2174122053434
2,iqll,3960,-1,-1374.0601515151516,1084.7024158251638
3,iqll,5280,-1,-1525.9339393939395,1307.2186324057363
4,iqll,6600,-1,-1382.9430303030304,1153.935608556148
5,iqll,7920,-1,-1608.5895454545455,1508.9467130117234
6,iqll,9240,-1,-1308.5127272727275,1085.4249803739706
7,iqll,10560,-1,-1583.8100000000002,1313.525073928699
8,iqll,11880,-1,-1531.9171212121212,1351.4821266357744
9,iqll,13200,-1,-1714.4083333333333,1420.941566822681
10,iqll,14520,-1,-1605.643787878788,1472.5797429632298
11,iqll,15840,-1,-1207.0496969696972,922.6920114944454
12,iqll,17160,-1,-1416.8824242424243,1247.7787162722411
13,iqll,18480,-1,-1249.2727272727273,1140.7645748071714
14,iqll,19800,-1,-1482.2042424242427,1274.9733153880904
15,iqll,21120,-1,-1544.3598484848485,1414.8905432319666
16,iqll,22440,-1,-1487.763787878788,1268.3429793492137
17,iqll,23760,-1,-1521.078484848485,1316.7109507097284
18,iqll,25080,-1,-1470.648484848485,1345.6445717001907
19,iqll,26400,-1,-1426.246212121212,1286.4050680743878
20,iqll,27720,-1,-1257.5380303030302,996.9341956684453
21,iqll,29040,-1,-1209.8392424242425,943.0469312879117
22,iqll,30360,-1,-1559.7763636363634,1453.2303631603008
23,iqll,31680,-1,-947.5200000000001,655.5091507301092
24,iqll,33000,-1,-1126.2916666666667,970.0836490909359
25,iqll,34320,-1,-1072.500303030303,814.8780550523918
26,iqll,35640,-1,-1184.9043939393941,1211.9685746671378
27,iqll,36960,-1,-1222.8549999999998,1274.2978748763549
28,iqll,38280,-1,-1440.1198484848485,1332.1892021530991
29,iqll,39600,-1,-1045.4837878787878,1002.5252773254953
30,iqll,40920,-1,-1247.9707575757577,1163.4140848692496
31,iqll,42240,-1,-1179.255,1208.420299764983
32,iqll,43560,-1,-1343.2106060606059,1205.6551858220628
33,iqll,44880,-1,-1276.0024242424242,1224.9388107884986
34,iqll,46200,-1,-1176.869090909091,1215.4683378256916
35,iqll,47520,-1,-1170.9859090909092,1271.7317894574305
36,iqll,48840,-1,-1293.5562121212122,1290.4658048811175
37,iqll,50160,-1,-1088.8404545454546,888.985725641156
38,iqll,51480,-1,-1399.8510606060609,1313.7602610153488
39,iqll,52800,-1,-1654.9036363636362,1533.0598578082793
40,iqll,54120,-1,-1104.5800000000002,1073.885803234161
41,iqll,55440,-1,-1254.0895454545455,1428.5681059526871
42,iqll,56760,-1,-1116.7516666666666,1103.015672625656
43,iqll,58080,-1,-786.3853030303031,676.2452481852202
44,iqll,59400,-1,-1431.7892424242423,1586.3593657327178
45,iqll,60720,-1,-1045.8845454545456,1004.1801121511744
46,iqll,62040,-1,-1466.5871212121215,1566.052759604363
47,iqll,63360,-1,-912.3487878787878,815.6449851507463
48,iqll,64680,-1,-1225.1275757575759,1260.352006853233
49,iqll,66000,-1,-1171.5430303030305,1198.703248703124
50,iqll,67320,-1,-1414.195,1419.972353830055
51,iqll,68640,-1,-1032.3415151515153,1034.3987146269792
52,iqll,69960,-1,-660.0545454545454,498.45369633340044
53,iqll,71280,-1,-1120.9345454545455,1269.7149441081099
54,iqll,72600,-1,-1017.2795454545454,1060.9633233056613
55,iqll,73920,-1,-1062.6833333333334,1064.2142611340116
