2026-03-28 12:34:04,765 - Reading configuration from: /home/sdc_joran/Journal/deeprl_signal_control/config/config_ppo_real.ini
2026-03-28 12:34:04,765 - Using frozen controller run dir: /home/sdc_joran/Journal/deeprl_signal_control/runs/ppo_real
2026-03-28 12:34:04,765 - Adversary output dir: /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh
2026-03-28 12:34:04,766 - Initializing Adversarial Environment...
2026-03-28 12:34:25,025 - Initializing GCN Adversary...
2026-03-28 12:34:25,164 - Start Training...
2026-03-28 12:34:27,196 - Training Finished.
2026-03-28 12:36:54,124 - Reading configuration from: /home/sdc_joran/Journal/deeprl_signal_control/config/config_ppo_real.ini
2026-03-28 12:36:54,124 - Using frozen controller run dir: /home/sdc_joran/Journal/deeprl_signal_control/runs/ppo_real
2026-03-28 12:36:54,124 - Adversary output dir: /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh
2026-03-28 12:36:54,125 - Initializing Adversarial Environment...
2026-03-28 12:37:14,320 - Initializing GCN Adversary...
2026-03-28 12:37:14,459 - Start Training...
2026-03-28 13:01:26,947 - Saved checkpoint at episode=59 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 13:01:49,267 - Episode 60: Steps=11, Reward=53581.00
2026-03-28 13:02:14,065 - Episode 61: Steps=11, Reward=169491.00
2026-03-28 13:02:38,865 - Episode 62: Steps=11, Reward=172271.00
2026-03-28 13:03:02,349 - Episode 63: Steps=11, Reward=141515.00
2026-03-28 13:03:24,985 - Episode 64: Steps=11, Reward=64894.00
2026-03-28 13:03:47,766 - Episode 65: Steps=11, Reward=93162.00
2026-03-28 13:04:12,174 - Episode 66: Steps=11, Reward=136843.00
2026-03-28 13:04:34,896 - Episode 67: Steps=11, Reward=82493.00
2026-03-28 13:05:00,971 - Episode 68: Steps=11, Reward=226883.00
2026-03-28 13:05:26,235 - Episode 69: Steps=11, Reward=205859.00
2026-03-28 13:05:26,244 - Saved checkpoint at episode=69 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 13:05:51,113 - Episode 70: Steps=11, Reward=195500.00
2026-03-28 13:06:13,775 - Episode 71: Steps=11, Reward=71013.00
2026-03-28 13:06:37,668 - Episode 72: Steps=11, Reward=166907.00
2026-03-28 13:07:00,311 - Episode 73: Steps=11, Reward=74662.00
2026-03-28 13:07:23,160 - Episode 74: Steps=11, Reward=67566.00
2026-03-28 13:07:45,952 - Episode 75: Steps=11, Reward=66233.00
2026-03-28 13:08:09,450 - Episode 76: Steps=11, Reward=93801.00
2026-03-28 13:08:32,785 - Episode 77: Steps=11, Reward=113130.00
2026-03-28 13:08:55,248 - Episode 78: Steps=11, Reward=59909.00
2026-03-28 13:09:18,646 - Episode 79: Steps=11, Reward=111334.00
2026-03-28 13:09:18,657 - Saved checkpoint at episode=79 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 13:09:44,874 - Episode 80: Steps=11, Reward=260834.00
2026-03-28 13:10:07,569 - Episode 81: Steps=11, Reward=67544.00
2026-03-28 13:10:31,513 - Episode 82: Steps=11, Reward=125549.00
2026-03-28 13:10:54,417 - Episode 83: Steps=11, Reward=63234.00
2026-03-28 13:11:17,560 - Episode 84: Steps=11, Reward=86262.00
2026-03-28 13:11:40,447 - Episode 85: Steps=11, Reward=94000.00
2026-03-28 13:12:03,715 - Episode 86: Steps=11, Reward=72351.00
2026-03-28 13:12:27,379 - Episode 87: Steps=11, Reward=136003.00
2026-03-28 13:12:51,254 - Episode 88: Steps=11, Reward=128535.00
2026-03-28 13:13:18,263 - Episode 89: Steps=11, Reward=275739.00
2026-03-28 13:13:18,274 - Saved checkpoint at episode=89 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 13:13:40,992 - Episode 90: Steps=11, Reward=71334.00
2026-03-28 13:14:04,098 - Episode 91: Steps=11, Reward=89986.00
2026-03-28 13:14:26,434 - Episode 92: Steps=11, Reward=49798.00
2026-03-28 13:14:50,853 - Episode 93: Steps=11, Reward=162850.00
